2017-08-18 12:13:10,070 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Running task 1.0 in stage 277.0 (TID 555)
2017-08-18 12:13:10,070 [Executor task launch worker-1] INFO  [org.apache.spark.executor.Executor] - Running task 0.0 in stage 277.0 (TID 554)
2017-08-18 12:13:10,089 [Executor task launch worker-1] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Beginning offset 976 is the same as ending offset skipping test07 0
2017-08-18 12:13:10,089 [Executor task launch worker-0] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Beginning offset 998 is the same as ending offset skipping test07 1
2017-08-18 12:13:10,093 [Executor task launch worker-0] INFO  [org.apache.spark.executor.Executor] - Finished task 1.0 in stage 277.0 (TID 555). 714 bytes result sent to driver
2017-08-18 12:13:10,094 [Executor task launch worker-1] INFO  [org.apache.spark.executor.Executor] - Finished task 0.0 in stage 277.0 (TID 554). 714 bytes result sent to driver
2017-08-18 12:13:10,096 [task-result-getter-2] INFO  [org.apache.spark.scheduler.TaskSetManager] - Finished task 1.0 in stage 277.0 (TID 555) in 26 ms on localhost (1/2)
2017-08-18 12:13:10,096 [task-result-getter-3] INFO  [org.apache.spark.scheduler.TaskSetManager] - Finished task 0.0 in stage 277.0 (TID 554) in 30 ms on localhost (2/2)
2017-08-18 12:13:10,096 [task-result-getter-3] INFO  [org.apache.spark.scheduler.TaskSchedulerImpl] - Removed TaskSet 277.0, whose tasks have all completed, from pool 
2017-08-18 12:13:10,096 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - ResultStage 277 (foreachPartition at streamingProcessNew.scala:50) finished in 0.030 s
2017-08-18 12:13:10,096 [streaming-job-executor-0] INFO  [org.apache.spark.scheduler.DAGScheduler] - Job 277 finished: foreachPartition at streamingProcessNew.scala:50, took 0.048659 s
2017-08-18 12:13:10,097 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Finished job streaming job 1503029590000 ms.0 from job set of time 1503029590000 ms
2017-08-18 12:13:10,097 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Total delay: 0.097 s for time 1503029590000 ms (execution: 0.076 s)
2017-08-18 12:13:10,097 [JobGenerator] INFO  [org.apache.spark.rdd.MapPartitionsRDD] - Removing RDD 553 from persistence list
2017-08-18 12:13:10,097 [block-manager-slave-async-thread-pool-23] INFO  [org.apache.spark.storage.BlockManager] - Removing RDD 553
2017-08-18 12:13:10,098 [JobGenerator] INFO  [org.apache.spark.streaming.kafka.KafkaRDD] - Removing RDD 552 from persistence list
2017-08-18 12:13:10,098 [block-manager-slave-async-thread-pool-26] INFO  [org.apache.spark.storage.BlockManager] - Removing RDD 552
2017-08-18 12:13:10,098 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.ReceivedBlockTracker] - Deleting batches: 
2017-08-18 12:13:10,098 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.InputInfoTracker] - remove old batch metadata: 1503029580000 ms
2017-08-18 12:13:15,020 [JobGenerator] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Added jobs for time 1503029595000 ms
2017-08-18 12:13:15,021 [JobScheduler] INFO  [org.apache.spark.streaming.scheduler.JobScheduler] - Starting job streaming job 1503029595000 ms.0 from job set of time 1503029595000 ms
2017-08-18 12:13:15,053 [streaming-job-executor-0] INFO  [org.apache.spark.SparkContext] - Starting job: foreachPartition at streamingProcessNew.scala:50
2017-08-18 12:13:15,053 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Got job 278 (foreachPartition at streamingProcessNew.scala:50) with 2 output partitions
2017-08-18 12:13:15,053 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Final stage: ResultStage 278 (foreachPartition at streamingProcessNew.scala:50)
2017-08-18 12:13:15,053 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Parents of final stage: List()
2017-08-18 12:13:15,054 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Missing parents: List()
2017-08-18 12:13:15,054 [dag-scheduler-event-loop] INFO  [org.apache.spark.scheduler.DAGScheduler] - Submitting ResultStage 278 (MapPartitionsRDD[557] at map at streamingProcessNew.scala:49), which has no missing parents
2017-08-18 12:13:15,059 [dag-scheduler-event-loop] INFO  [org.apache.spark.storage.memory.MemoryStore] - Block broadcast_278 stored as values in memory (estimated size 34.5 KB, free 413.0 MB)
